名前,ふりがな,出現地域,緯度,経度,詳細
井守,いもり,南条郡南越前町,35.8349887,136.1944991,
ウミアマ,うみあま,坂井郡（現坂井市）,36.166902,136.231287,
泥田坊,どろたぼう,北陸地方,36.06519,136.22167,
人魚,にんぎょ,若狭湾,35.7104758,135.6679786,
夜泣き石,よなきいし,丹生郡朝日町糸生村（現丹生郡越前町）,35.99464,136.08619,
夜泣き石,よなきいし,南条町南日野村島（現南条郡南越前町）,35.83515,136.194435,
夜泣き石,よなきいし,鯖江市河和田村清水町（現鯖江市東清水町）,35.94888,136.28882,
夜泣き石,よなきいし,吉田郡河合村（現福井市）,36.117502,136.200108,
若狭の人魚,わかさのにんぎょ,若狭町,35.54894,135.90817,
夢の霊,ゆめのれい,越前国北ノ庄（現福井市）,36.0601865,136.2196473,
ブーメランばばあ,ぶーめらんばばあ,北陸地方,36.06519,136.22167,
ごしょう駅,ごしょうえき,北陸本線,35.645161,136.076294,
びしゃがつく,びしゃがつく,坂井郡（現坂井市）,36.166902,136.231287,
骨こぶり,ほねこぶり,福井師範学校（福井大学）,36.0762523,136.2127913,
河童,かっぱ,大野郡和泉村（現大野市）,35.90536,136.66689,
赤マント,あかまんと,坂井郡三国町（現坂井市）,36.21761,136.15756,
やみ子さん,やみこさん,福井市,36.0641386,136.219623,
あっぽっしゃ,あっぽっしゃ,越廼村蒲生・茱崎地区（現福井市）,36.0294222,136.0108306,
亀入道,かめにゅうどう,若狭湾,35.7104758,135.6679786,
八百比丘尼,はっぴゃくびくに,小浜市,35.4956278,135.7467206,
